ID,"Machine ID","Student ID",Date,Time,Cinout,"Cinout ID","Unique Attendance ID",Status
1,0,8A8,2023-09-18,0,0,0,8A820230918,Present
2,0,8A10,2023-09-18,0,0,0,8A1020230918,Present
3,0,8A11,2023-09-18,0,0,0,8A1120230918,Present
4,0,8A13,2023-09-18,0,0,0,8A1320230918,Present
5,0,8A14,2023-09-18,0,0,0,8A1420230918,Present
6,0,8A15,2023-09-18,0,0,0,8A1520230918,Present
7,0,8A16,2023-09-18,0,0,0,8A1620230918,Absent
8,0,8A22,2023-09-18,0,0,0,8A2220230918,Present
9,0,8A25,2023-09-18,0,0,0,8A2520230918,Present
10,0,8A26,2023-09-18,0,0,0,8A2620230918,Present
11,0,8A28,2023-09-18,0,0,0,8A2820230918,Present
12,0,8A29,2023-09-18,0,0,0,8A2920230918,Absent
13,0,8A30,2023-09-18,0,0,0,8A3020230918,Present
14,0,8A32,2023-09-18,0,0,0,8A3220230918,Present
15,0,8A33,2023-09-18,0,0,0,8A3320230918,Present
16,0,8A35,2023-09-18,0,0,0,8A3520230918,Present
17,0,8A38,2023-09-18,0,0,0,8A3820230918,Present
18,0,8A40,2023-09-18,0,0,0,8A4020230918,Present
19,0,8A41,2023-09-18,0,0,0,8A4120230918,Present
20,0,8A42,2023-09-18,0,0,0,8A4220230918,Absent
21,0,8A44,2023-09-18,0,0,0,8A4420230918,Present
22,0,8A45,2023-09-18,0,0,0,8A4520230918,Present
23,0,8A46,2023-09-18,0,0,0,8A4620230918,Present
24,0,8A47,2023-09-18,0,0,0,8A4720230918,Present
25,0,8A48,2023-09-18,0,0,0,8A4820230918,Present
26,0,8A49,2023-09-18,0,0,0,8A4920230918,Present
27,0,8A50,2023-09-18,0,0,0,8A5020230918,Present
28,0,8A51,2023-09-18,0,0,0,8A5120230918,Present
29,0,8A52,2023-09-18,0,0,0,8A5220230918,Present
30,0,8A53,2023-09-18,0,0,0,8A5320230918,Present
31,0,8A54,2023-09-18,0,0,0,8A5420230918,Present
32,0,8A55,2023-09-18,0,0,0,8A5520230918,Present
33,0,8A56,2023-09-18,0,0,0,8A5620230918,Present
34,0,8A57,2023-09-18,0,0,0,8A5720230918,Present
35,0,8A58,2023-09-18,0,0,0,8A5820230918,Present
36,0,8A66,2023-09-18,0,0,0,8A6620230918,Present
37,0,8A73,2023-09-18,0,0,0,8A7320230918,Present
38,0,8A74,2023-09-18,0,0,0,8A7420230918,Present
39,0,8A82,2023-09-18,0,0,0,8A8220230918,Present
40,0,8A83,2023-09-18,0,0,0,8A8320230918,Present
41,0,8A86,2023-09-18,0,0,0,8A8620230918,Present
42,0,8A91,2023-09-18,0,0,0,8A9120230918,Present
43,0,8A94,2023-09-18,0,0,0,8A9420230918,Present
44,0,8A97,2023-09-18,0,0,0,8A9720230918,Present
45,0,8A98,2023-09-18,0,0,0,8A9820230918,Present
46,0,8A99,2023-09-18,0,0,0,8A9920230918,Present
47,0,8A101,2023-09-18,0,0,0,8A10120230918,Present
48,0,8A106,2023-09-18,0,0,0,8A10620230918,Present
49,0,8A107,2023-09-18,0,0,0,8A10720230918,Present
50,0,8A109,2023-09-18,0,0,0,8A10920230918,Present
51,0,8A110,2023-09-18,0,0,0,8A11020230918,Present
52,0,8A112,2023-09-18,0,0,0,8A11220230918,Present
53,0,8A113,2023-09-18,0,0,0,8A11320230918,Present
54,0,8A120,2023-09-18,0,0,0,8A12020230918,Present
55,0,8A122,2023-09-18,0,0,0,8A12220230918,Present
56,0,8A127,2023-09-18,0,0,0,8A12720230918,Present
57,0,8A129,2023-09-18,0,0,0,8A12920230918,Present
58,0,8A130,2023-09-18,0,0,0,8A13020230918,Present
59,0,8A131,2023-09-18,0,0,0,8A13120230918,Present
60,0,8A132,2023-09-18,0,0,0,8A13220230918,Present
61,0,8A134,2023-09-18,0,0,0,8A13420230918,Present
62,0,8A135,2023-09-18,0,0,0,8A13520230918,Present
63,0,8A137,2023-09-18,0,0,0,8A13720230918,Present
64,0,8A138,2023-09-18,0,0,0,8A13820230918,Present
65,0,8A143,2023-09-18,0,0,0,8A14320230918,Present
66,0,8A147,2023-09-18,0,0,0,8A14720230918,Present
67,0,8A149,2023-09-18,0,0,0,8A14920230918,Present
68,0,8A152,2023-09-18,0,0,0,8A15220230918,Present
69,0,8A155,2023-09-18,0,0,0,8A15520230918,Present
70,0,8A157,2023-09-18,0,0,0,8A15720230918,Present
71,0,8A158,2023-09-18,0,0,0,8A15820230918,Present
72,0,8A159,2023-09-18,0,0,0,8A15920230918,Present
73,0,8A160,2023-09-18,0,0,0,8A16020230918,Present
74,0,8A161,2023-09-18,0,0,0,8A16120230918,Present
75,0,8A164,2023-09-18,0,0,0,8A16420230918,Present
76,0,8A167,2023-09-18,0,0,0,8A16720230918,Present
77,0,8A168,2023-09-18,0,0,0,8A16820230918,Present
78,0,8A169,2023-09-18,0,0,0,8A16920230918,Present
